term,count,rank,street,highlight
emergency door,10165,624,,
fitness,10161,625,,
cleaning,10157,626,,
jols,10149,627,,
dept of,10144,628,,
ram,10132,629,,
34 mile,10126,630,,
western,10104,631,,
printing,10102,632,,
kfc,10094,633,,
wic,10073,634,,
electrical,10056,635,,
drivers,10055,636,,
min,10051,637,,
mon thru fri,10039,638,,
out,10034,639,,
chool,10031,640,,
4pm  7pm,10023,641,,
income,10009,642,,
flat,10006,643,,
fish,9993,644,,
medical office,9971,645,,
est,9971,646,,
fee,9945,648,,
monthly,9941,649,,
mita,9931,650,,
real,9927,651,,
litter removal,9925,652,,
fios,9923,653,,
walgreens,9904,654,,
professional,9888,655,,
fare,9883,656,,
exit 5,9874,657,,
gourmet,9861,658,,
ent,9845,659,,
urgent care,9840,660,,
atlantic av,9838,661,,
fdny,9828,662,,
oto,9812,663,,
son,9796,664,,
1130 am,9782,665,,
save,9776,666,,
supermarkets,9734,667,,
men,9711,668,,
seafood,9706,669,,
lotter,9681,670,,
dont block,9679,671,,
spring,9661,672,,
back,9653,673,,
surveillance,9650,674,,
beauty supply,9608,675,,
copies,9602,676,,
ria,9595,677,,
of dog,9594,678,,
extra,9593,679,,
roofing,9572,680,,
our,9549,681,,
attention,9545,682,,
safety,9527,683,,
linknyc,9511,684,,
parkway,9508,685,,
bike,9499,686,,
citi,9489,687,,
one nay,9475,688,,
lounge,9428,689,,
love,9426,690,,
ends,9402,691,,
stay,9400,692,,
donate,9373,693,,
pasta,9369,694,,
one may,9357,695,,
chinese restaurant,9347,696,,
boro,9345,697,,
99¢,9345,698,,
leasing,9343,699,,
cbre,9341,700,,
head,9331,701,,
snow,9330,702,,
geico,9326,703,,
shoe,9305,704,,
cas,9301,705,,
rental,9275,706,,
24 hr,9268,707,,
walk,9248,708,,
staten island,9243,709,,
brakes,9222,710,,
hair salon,9194,711,,
group,9183,712,,
art,9181,713,,
ton,9176,714,,
baldor,9156,715,,
hols,9135,716,,
wash  fold,9132,717,,
money,9117,718,,
101s,9115,719,,
blvd,9073,720,,
crown,9057,721,,
lic,9044,722,,
throughout,9043,723,,
management,9036,724,,
crystal,9033,725,,
sold here,9030,726,,
road work,9027,727,,
cold,9023,728,,
authorized dealer,9009,729,,
van,8989,730,,
produce,8978,731,,
village,8964,732,,
flushing,8944,733,,
checks cashed,8913,734,,
kin,8905,735,,
meat,8896,736,,
self service,8876,737,,
ane,8870,738,,
northern bivd,8865,739,,
get,8855,740,,
offices,8849,741,,
gate,8837,742,,
corner,8825,743,,
garage,8818,744,,
flat fix,8811,745,,
flat fare,8800,746,,
camera,8770,747,,
turn right,8769,748,,
new haven,8769,749,,
cal,8729,750,,
2022 go,8717,751,,
wellness,8715,752,,
100l,8702,753,,
americas,8696,754,,
scaffolding,8693,755,,
physical therapy,8677,756,,
fashion,8657,757,,
fold,8645,758,,
downtown,8627,759,,
electric,8626,760,,
cle,8615,761,,
exit 2,8610,762,,
dodge,8610,763,,
rover,8608,764,,
auto glass,8607,765,,
view,8607,766,,
pogle,8573,767,,
used,8559,768,,
castle,8546,769,,
today,8533,770,,
one ways,8510,771,,
cha,8506,772,,
able,8488,773,,
general,8486,774,,
live,8486,775,,
applebees,8481,776,,
shipping,8480,777,,
modells,8478,778,,
video,8465,779,,
don,8435,780,,
bagels,8418,781,,
spectrum,8406,782,,
casha,8402,783,,
check,8402,784,,
bivd,8389,785,,
customer,8388,786,,
change,8382,787,,
paints,8372,788,,
pay,8371,789,,
terminal,8350,790,,
custom,8350,791,,
